[2026-03-16 08:01:57] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-03-16 08:02:18] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-03-16 08:02:19] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-05-08 06:07:53] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-05-08 06:07:55] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-05-08 06:07:58] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-05-08 06:08:08] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-05-08 06:12:36] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/css/user-booking.css (IP: ::1)
[2026-05-08 06:12:46] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-05-08 06:12:51] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-05-08 06:47:07] 404 Page Not Found: /assets/images/no%20bg%20logo.png (IP: ::1)
[2026-05-08 06:47:07] 404 Page Not Found: /favicon.ico (IP: ::1)
[2026-05-08 06:47:16] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-05-08 06:47:31] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-05-08 06:48:11] 404 Page Not Found: /user/userDashboard.php (IP: ::1)
[2026-05-08 06:48:11] 404 Page Not Found: /user/assets/css/style.css (IP: ::1)
[2026-05-08 06:48:11] 404 Page Not Found: /user/assets/images/new%20background.jpg (IP: ::1)
[2026-05-08 06:48:18] 404 Page Not Found: /userDashboard (IP: ::1)
[2026-05-08 06:48:18] 404 Page Not Found: /assets/images/new%20background.jpg (IP: ::1)
[2026-05-08 06:48:18] 404 Page Not Found: /employee/dashboard (IP: ::1)
[2026-05-08 06:48:18] 404 Page Not Found: /assets/images/new%20background.jpg (IP: ::1)
[2026-05-08 06:48:35] 404 Page Not Found: /assets/images/no%20bg%20logo.png (IP: ::1)
[2026-05-08 06:49:21] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-05-08 06:49:29] 404 Page Not Found: /assets/images/no%20bg%20logo.png (IP: ::1)
[2026-05-08 06:50:23] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-05-08 06:50:36] 404 Page Not Found: /assets/images/no%20bg%20logo.png (IP: ::1)
[2026-05-08 06:51:05] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-05-08 06:51:14] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-05-08 06:51:21] 404 Page Not Found: /assets/images/no%20bg%20logo.png (IP: ::1)
[2026-05-08 06:51:29] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-05-08 06:51:35] 404 Page Not Found: /assets/images/no%20bg%20logo.png (IP: ::1)
[2026-05-08 06:51:38] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-05-08 06:51:56] 404 Page Not Found: /assets/images/no%20bg%20logo.png (IP: ::1)
[2026-05-08 06:51:59] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-05-08 06:52:06] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-05-09 13:47:15] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-05-09 13:47:21] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-05-09 13:47:42] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/css/user-booking.css (IP: ::1)
[2026-05-09 13:47:42] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/css/user-booking.css (IP: ::1)
[2026-05-09 13:47:42] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/css/user-booking.css (IP: ::1)
[2026-05-09 13:47:43] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/css/user-booking.css (IP: ::1)
[2026-05-09 13:47:43] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/css/user-booking.css (IP: ::1)
[2026-05-09 13:47:44] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/css/user-booking.css (IP: ::1)
[2026-05-09 13:47:44] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/css/user-booking.css (IP: ::1)
[2026-05-09 13:47:45] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/css/user-booking.css (IP: ::1)
[2026-05-09 13:47:45] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/css/user-booking.css (IP: ::1)
[2026-05-09 13:47:46] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/css/user-booking.css (IP: ::1)
[2026-05-09 13:47:46] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/css/user-booking.css (IP: ::1)
[2026-05-09 13:47:48] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/css/user-booking.css (IP: ::1)
[2026-05-09 13:47:48] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/css/user-booking.css (IP: ::1)
[2026-05-09 13:47:48] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/css/user-booking.css (IP: ::1)
[2026-05-09 14:43:57] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/css/user-booking.css (IP: ::1)
[2026-05-09 14:43:58] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-05-09 14:43:58] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/css/user-booking.css (IP: ::1)
